model_name,execution_time,cost,word_count,mentions_color,mentions_child_art,mentions_toy,detailed_description,speed_score,cost_score,quality_score,composite_score
gemini-2.0-flash,2.408,0.00276,46.8,1.0,0.6,0.6,1.0,1.0,1.0,0.7970469798657718,0.9188187919463087
gemini-2.5-flash-preview,4.5760000000000005,0.0028,59.6,1.0,0.6,0.6,1.0,0.5262237762237761,0.9857142857142857,0.8400000000000001,0.7895814185814186
llava-1.5-7b,4.952500000000001,0.005,40.25,1.0,0.75,0.75,1.0,0.4862190812720847,0.5519999999999999,0.8350671140939596,0.6454925700192092
blip,3.3579999999999997,0.0046,12.6,0.2,0.6,0.6,0.0,0.7170935080405003,0.6,0.32228187919463086,0.5240408040900024
gpt-4o-vision,9.168000000000001,0.0057799999999999995,52.2,1.0,0.2,0.6,1.0,0.26265270506108196,0.47750865051903113,0.7351677852348993,0.5161155207679937
blip-2,2.966,0.006,5.4,0.0,0.4,0.6,0.0,0.8118678354686445,0.4599999999999999,0.21812080536912754,0.46880867278824434
