provider,voice_id,model,is_child_friendly,execution_time,cost_usd,audio_file_path,file_size_bytes,duration_estimate_sec,quality_score,generation_error,story_hash,story_source_model,story_source_image,story_word_count,character_count,timestamp
elevenlabs,EXAVITQu4vr4xnSDxMaL,eleven_flash_v2_5,True,3.17,0.02926,../results/tts_analysis/audio_files/story_fca6a068_elevenlabs_EXAVITQu4vr4xnSDxMaL.wav,1367189,42.72,14.25,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140232
elevenlabs,JBFqnCBsd6RMkjVDRZzb,eleven_flash_v2_5,False,2.904,0.02926,../results/tts_analysis/audio_files/story_fca6a068_elevenlabs_JBFqnCBsd6RMkjVDRZzb.wav,1254340,39.2,14.25,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140232
elevenlabs,pFZP5JQG7iQjIQuC4Bku,eleven_flash_v2_5,True,3.088,0.02926,../results/tts_analysis/audio_files/story_fca6a068_elevenlabs_pFZP5JQG7iQjIQuC4Bku.wav,1281089,40.03,14.25,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140232
elevenlabs,FGY2WhTYpPnrIDTdsKH5,eleven_flash_v2_5,True,2.902,0.02926,../results/tts_analysis/audio_files/story_fca6a068_elevenlabs_FGY2WhTYpPnrIDTdsKH5.wav,1217142,38.04,14.25,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140232
elevenlabs,TX3LPaxmHKxFdv7VOQHJ,eleven_flash_v2_5,False,2.954,0.02926,../results/tts_analysis/audio_files/story_fca6a068_elevenlabs_TX3LPaxmHKxFdv7VOQHJ.wav,1243891,38.87,14.25,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140232
google,en-US-Neural2-H,Neural2,True,2.872,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-US-Neural2-H.wav,3504436,109.51,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140232
google,en-US-Neural2-F,Neural2,True,4.56,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-US-Neural2-F.wav,3893634,121.68,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140232
google,en-US-Neural2-J,Neural2,False,2.784,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-US-Neural2-J.wav,3725814,116.43,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140232
google,en-GB-Neural2-A,Neural2,False,0.087,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140232
google,en-GB-Neural2-B,Neural2,False,0.111,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140232
openai,alloy,tts-1,False,11.167,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_alloy.wav,3928244,122.76,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140232
openai,echo,tts-1,False,19.068,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_echo.wav,3950444,123.45,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140232
openai,fable,tts-1,True,7.209,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_fable.wav,3944444,123.26,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140232
openai,onyx,tts-1,False,9.58,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_onyx.wav,3920444,122.51,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140232
openai,nova,tts-1,True,24.382,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_nova.wav,3892244,121.63,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140232
openai,shimmer,tts-1,True,11.831,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_shimmer.wav,3961844,123.81,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140232
