provider,voice_id,model,is_child_friendly,execution_time,cost_usd,audio_file_path,file_size_bytes,duration_estimate_sec,quality_score,generation_error,story_hash,story_source_model,story_source_image,story_word_count,character_count,timestamp
elevenlabs,EXAVITQu4vr4xnSDxMaL,eleven_flash_v2_5,True,0.762,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_141157
elevenlabs,FGY2WhTYpPnrIDTdsKH5,eleven_flash_v2_5,True,0.771,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_141157
elevenlabs,cgSgspJ2msm6clMCkdW9,eleven_flash_v2_5,True,0.721,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_141157
elevenlabs,bIHbv24MWmeRgasZH58o,eleven_flash_v2_5,True,0.899,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_141157
elevenlabs,cjVigY5qzO86Huf0OWal,eleven_flash_v2_5,True,0.836,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_141157
elevenlabs,XB0fDUnXU5powFXDhCwa,eleven_flash_v2_5,False,0.741,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_141157
elevenlabs,IKne3meq5aSn9XLyUdCD,eleven_flash_v2_5,True,0.86,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_141157
elevenlabs,N2lVS1w4EtoT3dr4eOWO,eleven_flash_v2_5,False,0.737,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_141157
elevenlabs,9BWtsMINqrJLrRacOk9x,eleven_flash_v2_5,False,0.83,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_141157
elevenlabs,Xb7hH8MSUJpSbSDYk0k2,eleven_flash_v2_5,False,0.767,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_141157
elevenlabs,XrExE9yKIg1WjnnlVkGX,eleven_flash_v2_5,True,0.79,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_141157
elevenlabs,iP95p4xoKVk53GoZ742B,eleven_flash_v2_5,False,0.762,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_141157
