provider,voice_id,model,is_child_friendly,execution_time,cost_usd,audio_file_path,file_size_bytes,duration_estimate_sec,quality_score,generation_error,story_hash,story_source_model,story_source_image,story_word_count,character_count,timestamp
elevenlabs,EXAVITQu4vr4xnSDxMaL,eleven_flash_v2_5,True,0.869,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_183921
elevenlabs,FGY2WhTYpPnrIDTdsKH5,eleven_flash_v2_5,True,0.862,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_183921
elevenlabs,cgSgspJ2msm6clMCkdW9,eleven_flash_v2_5,True,0.775,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_183921
elevenlabs,bIHbv24MWmeRgasZH58o,eleven_flash_v2_5,True,0.854,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_183921
elevenlabs,cjVigY5qzO86Huf0OWal,eleven_flash_v2_5,True,0.847,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_183921
elevenlabs,XB0fDUnXU5powFXDhCwa,eleven_flash_v2_5,False,0.809,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_183921
elevenlabs,IKne3meq5aSn9XLyUdCD,eleven_flash_v2_5,True,0.831,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_183921
elevenlabs,N2lVS1w4EtoT3dr4eOWO,eleven_flash_v2_5,False,0.831,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_183921
elevenlabs,9BWtsMINqrJLrRacOk9x,eleven_flash_v2_5,False,0.969,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_183921
elevenlabs,Xb7hH8MSUJpSbSDYk0k2,eleven_flash_v2_5,False,0.921,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_183921
elevenlabs,XrExE9yKIg1WjnnlVkGX,eleven_flash_v2_5,True,0.774,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_183921
