provider,voice_id,model,is_child_friendly,execution_time,cost_usd,audio_file_path,file_size_bytes,duration_estimate_sec,quality_score,generation_error,story_hash,story_source_model,story_source_image,story_word_count,character_count,timestamp
elevenlabs,EXAVITQu4vr4xnSDxMaL,eleven_flash_v2_5,True,3.637,0.02926,../results/tts_analysis/audio_files/story_fca6a068_elevenlabs_EXAVITQu4vr4xnSDxMaL.wav,1385579,43.3,14.25,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
elevenlabs,pFZP5JQG7iQjIQuC4Bku,eleven_flash_v2_5,True,3.523,0.02926,../results/tts_analysis/audio_files/story_fca6a068_elevenlabs_pFZP5JQG7iQjIQuC4Bku.wav,1356740,42.4,14.25,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
elevenlabs,FGY2WhTYpPnrIDTdsKH5,eleven_flash_v2_5,True,3.099,0.02926,../results/tts_analysis/audio_files/story_fca6a068_elevenlabs_FGY2WhTYpPnrIDTdsKH5.wav,1251832,39.12,14.25,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
elevenlabs,cgSgspJ2msm6clMCkdW9,eleven_flash_v2_5,True,3.209,0.02926,../results/tts_analysis/audio_files/story_fca6a068_elevenlabs_cgSgspJ2msm6clMCkdW9.wav,1265207,39.54,14.25,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
elevenlabs,bIHbv24MWmeRgasZH58o,eleven_flash_v2_5,True,3.64,0.02926,../results/tts_analysis/audio_files/story_fca6a068_elevenlabs_bIHbv24MWmeRgasZH58o.wav,1296554,40.52,14.25,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
elevenlabs,cjVigY5qzO86Huf0OWal,eleven_flash_v2_5,True,2.826,0.02926,../results/tts_analysis/audio_files/story_fca6a068_elevenlabs_cjVigY5qzO86Huf0OWal.wav,1254758,39.21,14.25,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
elevenlabs,XB0fDUnXU5powFXDhCwa,eleven_flash_v2_5,False,3.329,0.02926,../results/tts_analysis/audio_files/story_fca6a068_elevenlabs_XB0fDUnXU5powFXDhCwa.wav,1609187,50.29,14.25,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
elevenlabs,IKne3meq5aSn9XLyUdCD,eleven_flash_v2_5,True,3.178,0.02926,../results/tts_analysis/audio_files/story_fca6a068_elevenlabs_IKne3meq5aSn9XLyUdCD.wav,1315780,41.12,14.25,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
elevenlabs,N2lVS1w4EtoT3dr4eOWO,eleven_flash_v2_5,False,3.524,0.02926,../results/tts_analysis/audio_files/story_fca6a068_elevenlabs_N2lVS1w4EtoT3dr4eOWO.wav,1541060,48.16,14.25,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
elevenlabs,SAz9YHcvj6GT2YYXdXww,eleven_flash_v2_5,False,1.269,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
elevenlabs,JBFqnCBsd6RMkjVDRZzb,eleven_flash_v2_5,False,1.288,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
elevenlabs,TX3LPaxmHKxFdv7VOQHJ,eleven_flash_v2_5,False,2.52,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
google,en-US-Neural2-H,Neural2,True,3.254,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-US-Neural2-H.wav,3504436,109.51,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
google,en-US-Neural2-F,Neural2,True,4.619,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-US-Neural2-F.wav,3893634,121.68,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
google,en-US-Neural2-J,Neural2,False,3.514,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-US-Neural2-J.wav,3725814,116.43,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
google,en-US-Neural2-G,Neural2,True,2.806,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-US-Neural2-G.wav,3629198,113.41,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
google,en-US-Neural2-I,Neural2,True,3.981,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-US-Neural2-I.wav,3577168,111.79,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
google,en-GB-Neural2-A,Neural2,False,3.029,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-GB-Neural2-A.wav,3739542,116.86,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
google,en-GB-Neural2-B,Neural2,False,3.766,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-GB-Neural2-B.wav,3612626,112.89,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
google,en-GB-Neural2-C,Neural2,True,3.576,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-GB-Neural2-C.wav,4089366,127.79,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
google,en-GB-Neural2-D,Neural2,False,3.218,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-GB-Neural2-D.wav,4110972,128.47,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
google,en-AU-Neural2-A,Neural2,True,3.019,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-AU-Neural2-A.wav,3899536,121.86,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
google,en-AU-Neural2-B,Neural2,False,2.647,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-AU-Neural2-B.wav,3331962,104.12,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
google,en-AU-Neural2-C,Neural2,True,4.697,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-AU-Neural2-C.wav,3609454,112.8,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
google,en-AU-Neural2-D,Neural2,False,2.644,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-AU-Neural2-D.wav,3258146,101.82,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
openai,alloy,tts-1,False,12.024,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_alloy.wav,3919844,122.5,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
openai,echo,tts-1,False,9.969,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_echo.wav,3936044,123.0,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
openai,fable,tts-1,True,16.273,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_fable.wav,3957044,123.66,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
openai,onyx,tts-1,False,25.21,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_onyx.wav,3922244,122.57,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
openai,nova,tts-1,True,16.795,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_nova.wav,3891644,121.61,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
openai,shimmer,tts-1,True,14.435,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_shimmer.wav,3964844,123.9,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_140718
