provider,voice_id,model,is_child_friendly,execution_time,cost_usd,audio_file_path,file_size_bytes,duration_estimate_sec,quality_score,generation_error,story_hash,story_source_model,story_source_image,story_word_count,character_count,timestamp
openai,alloy,tts-1,False,14.512,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_alloy.wav,3938444,123.08,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_134821
openai,echo,tts-1,False,8.561,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_echo.wav,3943844,123.25,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_134821
openai,fable,tts-1,True,15.013,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_fable.wav,3965444,123.92,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_134821
openai,onyx,tts-1,False,10.566,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_onyx.wav,3962444,123.83,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_134821
openai,nova,tts-1,True,13.031,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_nova.wav,3925844,122.68,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_134821
openai,shimmer,tts-1,True,16.942,0.01995,../results/tts_analysis/audio_files/story_fca6a068_openai_shimmer.wav,3952844,123.53,12.75,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_134821
google,en-US-Neural2-H,Neural2,True,3.159,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-US-Neural2-H.wav,3504436,109.51,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_134821
google,en-US-Neural2-F,Neural2,True,3.398,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-US-Neural2-F.wav,3893634,121.68,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_134821
google,en-US-Neural2-J,Neural2,False,3.234,0.02128,../results/tts_analysis/audio_files/story_fca6a068_google_en-US-Neural2-J.wav,3725814,116.43,13.5,False,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_134821
google,en-GB-Neural2-A,Neural2,False,0.116,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_134821
google,en-GB-Neural2-B,Neural2,False,0.117,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_134821
elevenlabs,Rachel,eleven_flash_v2_5,False,0.936,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_134821
elevenlabs,Domi,eleven_flash_v2_5,True,0.814,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_134821
elevenlabs,Bella,eleven_flash_v2_5,True,1.0,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_134821
elevenlabs,Antoni,eleven_flash_v2_5,False,0.938,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_134821
elevenlabs,Elli,eleven_flash_v2_5,True,0.842,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_134821
elevenlabs,Josh,eleven_flash_v2_5,False,0.89,0.0,,0,0,0,True,fca6a068,custom_test_story,robot_and_butterfly_workshop,210,1330,20250613_134821
