file_name,model_name,description,execution_time,cost
toy_01.jpeg,gemini-2.5-flash-preview,Error extracting text from response: The `response.text` quick accessor only works for simple (single-`Part`) text responses. This response is not simple text.Use the `result.parts` accessor or the full `result.candidates[index].content.parts` lookup instead.. Raw response: <google.generativeai.types.generation_types.GenerateContentResponse object at 0x11f939110>,6.71,0.0010
toy_01.jpeg,gemini-2.5-pro-preview,Error extracting text from response: The `response.text` quick accessor only works for simple (single-`Part`) text responses. This response is not simple text.Use the `result.parts` accessor or the full `result.candidates[index].content.parts` lookup instead.. Raw response: <google.generativeai.types.generation_types.GenerateContentResponse object at 0x11f0e0c90>,5.13,0.0025
